name_ar,name_en,gender,religion,role,frequency_class,corpus_share_pct,slot1_pct,slot2_pct,slot3_pct,slot4_pct,slot5_pct,slot6_pct,slot7_pct,slot8_pct,tashkeel,meaning_ar,meaning_en,ar_variants,en_variants,data_version
الطمبشاوي,El Tambashawy,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّمْبَشَاوِي,نسبة إلى 'طمبشا'، وهي قرية مصرية في محافظة المنوفية. الاسم يدل على النسبة الجغرافية.,"Attributed to 'Tambasha', an Egyptian village in Monufia Governorate. The name indicates geographical attribution.",الطمبشاوي|الطمبشاوى,Eltambashawy|Al-Tambashawi|El-Tambashawy,v0.1.x
الطملة,El Tamla,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلطَّمْلَة,نسبة إلى 'الطملة'، وهي كلمة قديمة قد تدل على الأرض المستوية أو مكان معين، أو قد تكون تصغيرًا لكلمة 'طمل'. الجذر اللغوي 'طمل' يدل على التغطية أو الخفاء.,"Attributed to 'Al Tamla', an old word that might refer to flat land or a specific place, or a diminutive of 'ṭaml'. The root 'ṭ-m-l' signifies covering or concealment.",الطملة|الطمله,Eltamla|Al-Tamla|El-Tamla,v0.1.x
الطنابيلي,El Tanabily,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلطَّنَابِيلِي,نسبة إلى 'الطنابيلي'، وهي كلمة قد تكون مشتقة من 'طنبول' أو 'طنبيلة' وقد تدل على آلة موسيقية أو مكان معين. الاسم يدل على النسبة.,"Attributed to 'Al Tanabily', a word possibly derived from 'ṭanboul' or 'ṭanbila', which might refer to a musical instrument or a specific place. The name indicates attribution.",الطنابيلي,Eltanabeely|Al-Tanabili|El-Tanabeely,v0.1.x
الطناش,El Tannash,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلطَّنَّاش,نسبة إلى 'الطناش'، وهي صيغة مبالغة من 'طنش' أي تجاهل أو أغفل. قد يكون لقباً لشخص كثير التجاهل أو الإغفال، أو نسبة إلى مكان.,"Attributed to 'Al Tannash', an intensive form of 'ṭanash' meaning to ignore or overlook. It might be a nickname for someone who often ignores things, or a place name.",الطناش,Eltannash|Al-Tannash|El-Tannash,v0.1.x
الطنان,El Tannan,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّنَّان,نسبة إلى 'الطنان'، وهي صيغة مبالغة من 'طنّ' أي أحدث صوتاً. قد يكون لقباً لشخص كثير الكلام أو الضجيج، أو نسبة إلى مكان.,"Attributed to 'Al Tannan', an intensive form of 'ṭann' meaning to make a sound. It might be a nickname for a talkative or noisy person, or a place name.",الطنان,Eltannan|Al-Tannan|El-Tannan,v0.1.x
الطنبوري,El Tanboury,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّنْبُورِي,نسبة إلى 'الطنبور'، وهي آلة موسيقية وترية. قد يكون لقباً لمن يصنع الطنابير أو يعزف عليها، أو نسبة إلى مكان.,"Attributed to 'Al Tanbour', a stringed musical instrument. It might be a nickname for a maker or player of tanbours, or a place name.",الطنبوري|الطنبورى,Eltanboury|Al-Tanburi|El-Tanboury,v0.1.x
الطنة,El Tanna,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّنَّة,نسبة إلى 'الطنة'، وهي صوت أو رنين، أو قد تكون تصغيرًا لكلمة 'طن'. الجذر اللغوي 'طنّ' يدل على إحداث الصوت.,"Attributed to 'Al Tanna', a sound or resonance, or a diminutive of 'ṭann'. The root 'ṭ-n-n' signifies making a sound.",الطنة,Eltanna|Al-Tanna|El-Tanna,v0.1.x
الطنشي,El Tanshy,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّنْشِي,نسبة إلى 'طنْش'، وهي كلمة عامية تعني التجاهل أو الإغفال. قد يكون لقباً لشخص يتجاهل الأمور، أو نسبة إلى مكان.,"Attributed to 'Tansh', a colloquial word meaning to ignore or overlook. It might be a nickname for someone who ignores things, or a place name.",الطنشي|الطنشى,Eltanshy|Al-Tanshi|El-Tanshy,v0.1.x
الطني,El Tanny,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلطَّنِّي,نسبة إلى 'الطنّ'، وهو وحدة قياس للوزن، أو قد يكون نسبة إلى مكان. الجذر اللغوي 'طنّ' يدل على إحداث الصوت أو الثقل.,"Attributed to 'Al Tann', a unit of weight, or a place name. The root 'ṭ-n-n' signifies making a sound or heaviness.",الطني|الطنى,Eltanny|Al-Tanni|El-Tany,v0.1.x
الطهماوي,El Tahmawy,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّهْمَاوِي,نسبة إلى 'طهما'، وهي قرية مصرية في محافظة القليوبية. الاسم يدل على النسبة الجغرافية.,"Attributed to 'Tahma', an Egyptian village in Qalyubia Governorate. The name indicates geographical attribution.",الطهماوي,Eltahmawy|Al-Tahmawi|El-Tahmawy,v0.1.x
الطواني,El Tawany,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطَّوَانِي,نسبة إلى 'الطواني'، وهي كلمة قد تدل على الأماكن المرتفعة أو الأبراج، أو قد تكون نسبة إلى قرية أو منطقة بهذا الاسم. الجذر اللغوي 'طون' يدل على الارتفاع.,"Attributed to 'Al Tawany', a word that might refer to high places or towers, or a village/region named as such. The root 'ṭ-w-n' signifies height.",الطواني|الطوانى,Eltawany|Al-Tawani|El-Tawany,v0.1.x
الطوباري,El Tobary,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلطُّوبَارِي,نسبة إلى 'الطوبار'، وهي كلمة قد تدل على نوع من الأسماك أو مكان معين. الاسم يدل على النسبة.,"Attributed to 'Al Tobar', a word that might refer to a type of fish or a specific place. The name indicates attribution.",الطوباري|الطوبارى,Eltoubary|Al-Tubari|El-Toubary,v0.1.x
الطوبي,El Toby,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطُّوبِي,نسبة إلى 'الطوب'، وهو مادة البناء. قد يكون لقباً لمن يعمل في صناعة الطوب أو بيعه، أو نسبة إلى مكان يشتهر بالطوب.,"Attributed to 'Al Tob', which means brick. It might be a nickname for someone who works with or sells bricks, or a place known for bricks.",الطوبي|الطوبى,Eltouby|Al-Tubi|El-Touby,v0.1.x
الطوشليمي,El Toshlimy,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطُّوشْلِيمِي,نسبة إلى 'طوشليم'، وهي كلمة غير عربية الأصل، قد تكون اسماً لمكان أو شخص. الاسم يدل على النسبة.,"Attributed to 'Toshlim', a non-Arabic word, possibly a place or personal name. The name indicates attribution.",الطوشليمي|الطوشليمى,Eltoushleemy|Al-Tushlimi|El-Toushleemy,v0.1.x
الطوقي,El Tawky,n,m,f,r,9e-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,اَلطَّوْقِي,نسبة إلى 'الطوق'، وهو ما يحيط بالعنق. قد يكون لقباً لمن يصنع الأطواق أو يرتديها، أو نسبة إلى مكان.,"Attributed to 'Al Tawq', which means collar or necklace. It might be a nickname for someone who makes or wears collars, or a place name.",الطوقي|الطوقى,Eltawqy|Al-Tawqi|El-Tawqy,v0.1.x
الطونسي,Eltounsy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,الطُّونْسِي,منسوب إلى تونس,Tunisian; from Tunisia,الطونسي|الطونسى,Eltounsy|Al-Tunsi|El-Tounsy,v0.1.x
الطويسي,El Tuwaisy,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلطُّوَيْسِي,نسبة إلى 'الطويس'، وهو تصغير لكلمة 'طاس' (وعاء). قد يكون لقباً لمن يصنع الطاسات أو يبيعها، أو نسبة إلى مكان.,"Attributed to 'Al Tuwais', a diminutive of 'ṭās' (a bowl). It might be a nickname for someone who makes or sells bowls, or a place name.",الطويسي|الطويسى,Eltouwaisy|Al-Tuwaysi|El-Toweisy,v0.1.x
الطويشي,El-Toweishy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلطُّوَيْشِيّ,نسبة إلى 'الطويشة'، تصغير 'طوشة' وهي كلمة عامية مصرية تعني الضوضاء أو الشغب، أو قد تكون نسبة لمكان.,"Attributed to 'El-Toweisha', a diminutive of 'Tawsha' (Egyptian colloquial for noise/commotion), or a place name.",الطويشي|الطويشى,Eltouwaishy|Al-Tuwayshi|El-Toweishy,v0.1.x
الطيارة,Eltayyara,f,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,الطَّيَّارَة,الطيّارة؛ الطائرة,Airplane; flying thing,الطيارة,Eltayyara|Al-Tayyara|El-Tayyara,v0.1.x
الطيان,Eltayyan,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,الطَّيَّان,الطيّان؛ عامل الطين/الجبس (حرفة),Plasterer; clay-worker,الطيان,Eltayyan|Al-Tayyan|El-Tayyan,v0.1.x
الطيباتي,El-Taybaty,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلطَّيْبَاتِيّ,نسبة إلى 'الطيبات'، جمع 'طيبة' وهي الأرض الخصبة أو الشيء الجيد، أو قد تكون نسبة لمكان يسمى 'الطيبات'.,"Attributed to 'El-Taybat', plural of 'Tayba' (fertile land or good thing), or a place named 'El-Taybat'.",الطيباتي|الطيباتى,Eltaibaty|Al-Taybati|El-Taibaty,v0.1.x
الطيبين,El-Tayyebin,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلطَّيِّبِين,جمع 'طيب'، أي الصالحون أو الجيدون. قد يكون لقباً يدل على صفة أو نسبة إلى عائلة معروفة بالصلاح.,"Plural of 'Tayyeb' (good, righteous). May denote a characteristic or refer to a family known for goodness.",الطيبين,Eltayyebeen|Al-Tayyibin|El-Tayyebeen,v0.1.x
الطيرالفجال,El-Tayr El-Faggal,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلطَّيْرُ اَلْفَجَّال,مركب من 'الطير' (طائر) و'الفجال' (بائع الفجل). قد يكون لقباً مهنياً أو وصفياً.,Compound of 'El-Tayr' (bird) and 'El-Faggal' (radish seller). Likely an occupational or descriptive surname.,الطيرالفجال,Eltairelfaggal|Al-Tayr-Al-Fajjal|El-Tair-El-Faggal,v0.1.x
الطيناوي,El-Tinawy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلطِّينَاوِيّ,نسبة إلى 'الطيناوي'، وهي كلمة مشتقة من 'الطين' (الصلصال أو الوحل). قد تكون نسبة لمهنة مرتبطة بالطين أو لمكان يكثر فيه الطين.,"Attributed to 'El-Tinawy', derived from 'Tin' (clay or mud). May refer to an occupation related to clay or a muddy place.",الطيناوي|الطيناوى,Elteenawy|Al-Tinawi|El-Teenawy,v0.1.x
الظالم,Elzalem,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,الظَّالِم,الظالم؛ الجائر,The unjust; oppressor,الظالم,Elzalem|Al-Zalim|El-Zalem,v0.1.x
الظفيري,Elzafeery,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,الظَّفِيرِي,منسوب إلى الظفير / ظفير,Related to Ẓafīr / al-Ẓafīrī,الظفيري|الظفيرى,Elzafeery|Al-Zafiri|El-Zafeery,v0.1.x
الظهراء,Elzahraa,f,m,g,r,9e-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,الظَّهْرَاء,الزهراء/الظهراء؛ المشرقة,The radiant (Zahrāʾ form,الظهراء,Elzahraa|Al-Zahra|El-Zahraa,v0.1.x
الظهراوي,El-Zahrawy,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلظَّهْرَاوِيّ,نسبة إلى 'الظهر'، قد تكون نسبة لمكان يسمى 'الظهر' أو 'الظهراء'، أو نسبة لوقت الظهر.,"Attributed to 'El-Zahr', possibly a place named 'El-Zahr' or 'El-Zahraa', or related to the time of 'Dhuhr' (noon).",الظهراوي|الظهراوى,Elzahrawy|Al-Zahrawi|El-Zahrawy,v0.1.x
الظهيري,El-Zuheiry,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلظُّهَيْرِيّ,نسبة إلى 'الظهير'، تصغير 'ظهر'. قد تكون نسبة لمكان أو لقب يدل على السند والمعين.,"Attributed to 'El-Zuheir', diminutive of 'Zahr' (back). May refer to a place or a title indicating support/helper.",الظهيري|الظهيرى,Elzohairy|Al-Zuhayri|El-Zohairy,v0.1.x
العائل,El-A'el,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلْعَائِل,من الفعل 'عالَ يَعُولُ'، أي الفقير أو من يعول أسرة. قد يكون لقباً يدل على حالة اجتماعية أو مهنة.,From the verb 'a'ala' (to be poor or to support a family). May be a surname indicating social status or profession.,العائل,Elaayel|Al-Aayel|El-Aayel,v0.1.x
العابو,El-A'abou,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَابُو,اسم عامي، قد يكون تحريفاً لاسم آخر أو لقباً محلياً غير معروف الأصل الدقيق.,"Colloquial name, possibly a distortion of another name or a local surname of unknown precise origin.",العابو,Elaabo|Al-Aabo|El-Aabo,v0.1.x
العاتي,El-A'aty,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَاتِي,من الفعل 'عتا يعتو'، أي المتكبر أو المتجبر أو الشديد. قد يكون لقباً وصفياً.,"From the verb 'a'ata' (to be arrogant, tyrannical, or severe). May be a descriptive surname.",العاتي|العاتى,Elaaty|Al-Aaty|El-Aaty,v0.1.x
العاجاتي,El-A'agaty,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَاجَاتِيّ,نسبة إلى 'العاج'، أي صانع أو بائع العاج، أو نسبة لمكان يشتهر بالعاج.,"Attributed to 'El-A'ag' (ivory), meaning an ivory craftsman or seller, or a place known for ivory.",العاجاتي|العاجاتى,Elaagaty|Al-Ajati|El-Aagaty,v0.1.x
العازة,El-A'aza,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَازَة,قد تكون نسبة إلى 'العازة' وهي الحاجة أو الفقر، أو قد تكون تحريفاً لاسم آخر.,"Possibly attributed to 'El-A'aza' (need, poverty), or a distortion of another name.",العازة|العازه,Elaaza|Al-Aaza|El-Aaza,v0.1.x
العازر,Elaazer,m,c,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,العَازَر,العازر/Eleazar؛ الله أعان (توراتي),Eleazar; God has helped,العازر,Elaazer|Al-Aazer|El-Aazer|Eleazar,v0.1.x
العاصم,Elaasem,m,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,العَاصِم,العاصم؛ الحافظ,Protector; preserver,العاصم,Elaasem|Al-Asim|El-Aasem,v0.1.x
العاطفي,El-A'atefy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَاطِفِيّ,نسبة إلى 'العاطفة'، أي من يتصف بالرقة والمودة، أو قد تكون نسبة لمكان.,"Attributed to 'El-A'atefa' (affection, tenderness), meaning one characterized by gentleness and love, or a place name.",العاطفي|العاطفى,Elaatefy|Al-Atefy|El-Aatefy,v0.1.x
العاقب,Elaaqeb,m,m,f,r,9e-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,العَاقِب,العاقب؛ الذي يعقب / لقب نبوي,Successor; the Last (prophetic epithet,العاقب,Elaaqeb|Al-Aqeb|El-Aaqeb,v0.1.x
العاقوسي,El-A'aqousy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,اَلْعَاقُوسِيّ,نسبة إلى 'العاقوس'، قد تكون كلمة عامية أو اسم مكان غير معروف الأصل الدقيق.,"Attributed to 'El-A'aqous', possibly a colloquial word or a place name of unknown precise origin.",العاقوسي|العاقوسى,Elaaqousy|Al-Aqousy|El-Aaqousy,v0.1.x
العاقول,El-A'aqoul,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,اَلْعَاقُول,اسم نبات شوكي معروف، أو قد يكون لقباً يدل على الشدة أو الصعوبة، أو نسبة لمكان يكثر فيه هذا النبات.,"A known thorny plant, or a surname indicating severity/difficulty, or a place where this plant is abundant.",العاقول,Elaaqoul|Al-Aqoul|El-Aaqoul,v0.1.x
العاكوري,El-A'akoury,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَاكُورِيّ,نسبة إلى 'العاكور'، قد تكون كلمة عامية أو اسم مكان غير معروف الأصل الدقيق.,"Attributed to 'El-A'akour', possibly a colloquial word or a place name of unknown precise origin.",العاكوري,Elaakoury|Al-Akoury|El-Aakoury,v0.1.x
العامود,Elaamoud,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,العَامُود,العمود,Pillar; column,العامود,Elaamoud|Al-Amoud|El-Aamoud,v0.1.x
العامية,El-A'ameya,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَامِيَّة,نسبة إلى 'العامة' أي عامة الناس، أو قد تكون نسبة لمكان يسمى 'العامية'.,"Attributed to 'El-A'amma' (the common people), or a place named 'El-A'ameya'.",العامية,Elaameya|Al-Amiya|El-Aameya,v0.1.x
العاهري,El-A'ahery,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَاهِرِيّ,نسبة إلى 'العاهر' (الزاني)، وهو لقب قديم قد يكون له دلالات مختلفة في السياقات التاريخية أو تحريفاً لاسم آخر.,Attributed to 'El-A'aher' (fornicator). An old surname that might have different historical connotations or be a distortion of another name.,العاهري|العاهرى,Elaahery|Al-Ahery|El-Aahery,v0.1.x
العاوور,El-A'awour,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلْعَاوُور,قد تكون تحريفاً لكلمة 'الأعور' (من فقد إحدى عينيه)، أو لقباً عامياً غير معروف الأصل الدقيق.,"Possibly a distortion of 'El-A'awar' (one-eyed), or a colloquial surname of unknown precise origin.",العاوور,Elaawour|Al-Awour|El-Aawour,v0.1.x
العاوي,El-A'awy,n,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَاوِي,من الفعل 'عوى يعوي'، أي الذي يصدر صوتاً كصوت الكلب أو الذئب. قد يكون لقباً وصفياً أو نسبة لمكان.,"From the verb 'a'awa' (to howl, like a dog or wolf). May be a descriptive surname or a place name.",العاوي,Elaawy|Al-Awy|El-Aawy,v0.1.x
العايد,Elaayed,m,n,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,العَايِد,العائد؛ الراجع,The returner,العايد,Elaayed|Al-Ayed|El-Aayed,v0.1.x
العايشي,El-Ayshi,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,اَلْعَايِشِيّ,نسبة إلى 'عايش'، وهو اسم علم مذكر عربي يعني 'الذي يعيش' أو 'الحي'.,"Attributed to 'Ayesh', an Arabic male given name meaning 'the one who lives' or 'the living'.",العايشي,Elaayshy|Al-Ayshy|El-Aayshy,v0.1.x
العباني,El-Abbany,n,m,f,r,9e-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,اَلْعَبَّانِيّ,نسبة إلى 'عبان'، وهو اسم قديم أو قد يكون نسبة إلى مكان.,"Attributed to 'Abban', an ancient name or possibly a place name.",العباني|العبانى,Elabbany|Al-Abbany|El-Abbany,v0.1.x
العبدالبجم,El-Abd El-Bagam,n,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ اَلْبَجَم,مركب من 'العبد' و'البجم'. 'البجم' قد تكون تحريفاً أو كلمة عامية تعني 'الأبكم' أو 'الصامت'.,Compound of 'El-Abd' (the servant) and 'El-Bagam'. 'El-Bagam' might be a distortion or a colloquial word meaning 'the mute' or 'the silent'.,العبدالبجم,Elabdelbagam|Al-Abd-El-Bagam|El-Abd-El-Bagam,v0.1.x
العبدالبيبا,El-Abd El-Biba,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَبْدُ اَلْبِيبَا,مركب من 'العبد' و'البيبا'. 'البيبا' قد تكون كلمة عامية أو تحريفاً لاسم أو صفة.,Compound of 'El-Abd' (the servant) and 'El-Biba'. 'El-Biba' might be a colloquial word or a distortion of a name or attribute.,العبدالبيبا,Elabdelbeeba|Al-Abd-El-Beeba|El-Abd-El-Biba,v0.1.x
العبدالديش,El-Abd El-Dish,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ اَلدِّيش,مركب من 'العبد' و'الديش'. 'الديش' قد تكون كلمة عامية أو تحريفاً لاسم أو صفة.,Compound of 'El-Abd' (the servant) and 'El-Dish'. 'El-Dish' might be a colloquial word or a distortion of a name or attribute.,العبدالديش,Elabdeldeesh|Al-Abd-El-Deesh|El-Abd-El-Dish,v0.1.x
العبدالرحمن,Elabdelrahman,m,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,العَبْدالرَّحْمَن,عبد الرحمن (الرحمن من أسماء الله),Servant of the Most Merciful,العبدالرحمن,Elabdelrahman|Abdelrahman|Al-Abd-El-Rahman|Abd-El-Rahman,v0.1.x
العبدالصالح,Elabdelsaleh,m,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,العَبْدالصَّالِح,العبد الصالح؛ الخادم الصالح,The righteous servant,العبدالصالح,Elabdelsaleh|Abdel-Saleh|Al-Abd-El-Saleh,v0.1.x
العبدالصغير,Elabdelsagheer,n,n,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,العَبْدالصَّغِير,العبد الصغير,The young/small servant,العبدالصغير,Elabdelsagheer|Abdel-Sagheer|Al-Abd-El-Saghir,v0.1.x
العبدالعزب,El-Abd El-Azab,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ اَلْعَزَب,مركب من 'العبد' و'العزب'. 'العزب' تعني 'الأعزب' أو 'المنفرد'.,Compound of 'El-Abd' (the servant) and 'El-Azab' (the bachelor or the solitary).,العبدالعزب,Elabdelazab|Abdel-Azab|Al-Abd-El-Azab,v0.1.x
العبدالكاشف,El-Abd El-Kashef,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَبْدُ اَلْكَاشِف,مركب من 'العبد' و'الكاشف'. 'الكاشف' اسم فاعل من 'كشف'، أي الذي يكشف أو يظهر الحقائق.,"Compound of 'El-Abd' (the servant) and 'El-Kashef' (the revealer, the one who uncovers).",العبدالكاشف,Elabdelkashef|Abdel-Kashef|Al-Abd-El-Kashef,v0.1.x
العبدبدوي,El-Abd Badawy,n,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ بَدَوِيّ,مركب من 'العبد' و'بدوي'. 'بدوي' نسبة إلى البادية، أي من سكان الصحراء.,"Compound of 'El-Abd' (the servant) and 'Badawy' (Bedouin, from the desert).",العبدبدوي|العبدبدوى,Elabdbadawy|Abd-Badawy|Al-Abd-Badawi,v0.1.x
العبدخليل,El-Abd Khalil,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ خَلِيل,مركب من 'العبد' و'خليل'. 'خليل' تعني الصديق الوفي أو الحبيب.,"Compound of 'El-Abd' (the servant) and 'Khalil' (close friend, beloved).",العبدخليل,Elabdkhalil|Abd-Khalil|Al-Abd-Khalil,v0.1.x
العبدعبيد,El-Abd Obeid,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ عُبَيْد,مركب من 'العبد' و'عبيد'. 'عبيد' تصغير 'عبد'، أو جمع 'عبد'.,"Compound of 'El-Abd' (the servant) and 'Obeid' (diminutive of 'Abd', or plural of 'Abd').",العبدعبيد,Elabdobayd|Abd-Obaid|Al-Abd-Ubayd,v0.1.x
العبدعوض,El-Abd Awad,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ عِوَض,مركب من 'العبد' و'عوض'. 'عوض' تعني البدل أو الخلف.,"Compound of 'El-Abd' (the servant) and 'Awad' (compensation, substitute).",العبدعوض,Elabdewad|Abd-Awad|Al-Abd-Awad,v0.1.x
العبدعيد,El-Abd Eid,n,m,f,r,9e-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,اَلْعَبْدُ عِيد,مركب من 'العبد' و'عيد'. 'عيد' تعني المناسبة السعيدة المتكررة.,"Compound of 'El-Abd' (the servant) and 'Eid' (festival, recurring happy occasion).",العبدعيد,Elabdeed|Abd-Eid|Al-Abd-Eid,v0.1.x
العبدغريب,El-Abd Gharib,n,m,f,r,9e-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ غَرِيب,مركب من 'العبد' و'غريب'. 'غريب' تعني الأجنبي أو البعيد عن وطنه.,"Compound of 'El-Abd' (the servant) and 'Gharib' (stranger, foreigner, away from home).",العبدغريب,Elabdghareeb|Abd-Ghareeb|Al-Abd-Gharib,v0.1.x
العبدقاسم,El-Abd Qasem,n,m,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ قَاسِم,مركب من 'العبد' و'قاسم'. 'قاسم' اسم فاعل من 'قسم'، أي الذي يقسم أو يوزع.,"Compound of 'El-Abd' (the servant) and 'Qasem' (divider, distributor).",العبدقاسم,Elabdqasem|Abd-Qasem|Al-Abd-Qasim,v0.1.x
العبدكشاف,El-Abd Kashaf,n,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,اَلْعَبْدُ كَشَّاف,مركب من 'العبد' و'كشاف'. 'كشاف' صيغة مبالغة من 'كشف'، أي كثير الكشف أو الاستطلاع.,"Compound of 'El-Abd' (the servant) and 'Kashaf' (one who reveals much, explorer).",العبدكشاف,Elabdkashaf|Abd-Kashaf|Al-Abd-Kashaf,v0.1.x
العبدلله,Elabdellah,m,m,f,r,9e-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,العَبْدلِلَّه,عبد الله,Servant of God,العبدلله,Elabdellah|Abdullah|Abdallah|Al-Abdallah,v0.1.x
العبدو,Elabdo,n,n,f,r,9e-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,العَبْدُو,تصغير/تدليل عبد,Pet/diminutive form of ʿAbd,العبدو,Elabdo|Abdou|Al-Abdo|El-Abdou,v0.1.x
